		6002 - LANDS - ACQUISITIONS Functions Modified	 Comments 	1 Item 	2018-03-02 05:55 PM 	10E-OPE-OPE-6002
		6004 - LANDS - ACQUISITIONS - PURCHASES Functions Modified	 Comments 	1 Item 	2018-03-02 05:53 PM 	10E-OPE-OPE-6004
		6006 - LANDS - ACQUISITIONS - TRANSFER Functions Modified	 Comments 	1 Item 	2018-03-02 05:53 PM 	10E-OPE-OPE-6006
		6008 - LANDS - AIRPORTS AND AIRSTRIPS Functions Modified	 Comments 	4 Items 	2018-03-02 05:53 PM 	10E-OPE-OPE-6008
		6020 - LANDS - LANDSCAPING Functions 	 Comments 	2 Items 	2018-02-23 05:11 PM 	10E-OPE-OPE-6020
		6022 - LANDS - MAPPING AND CHARTING Functions 	 Comments 	1 Item 	2018-02-23 05:11 PM 	10E-OPE-OPE-6022
		6024 - LANDS - RECREATION AREAS Functions 	 Comments 	13 Items 	2018-02-23 05:11 PM 	10E-OPE-OPE-6024
		6026 - LANDS - ROADS AND STREETS (HIGWAYS) Functions 	 Comments 	2 Items 	2018-02-23 05:11 PM 	10E-OPE-OPE-6026
		6028 - LANDS - ROADS AND STREETS - SNOW REMOVAL Functions 	 Comments 	1 Item 	2018-02-23 05:11 PM 	10E-OPE-OPE-6028
		6030 - LANDS - ROADS AND STREETS - PARKS Functions 	 Comments 	43 Items 	2018-02-23 05:11 PM 	10E-OPE-OPE-6030
		6100 - FLORA Functions 	 Comments 	11 Items 	2018-02-23 05:11 PM 	10E-OPE-OPE-6100
		6150 - BOTANY Functions 	 Comments 	2 Items 	2018-02-23 05:11 PM 	10E-OPE-OPE-6150
		6175 - ECOLOGY Functions 	 Comments 	4 Items 	2018-02-23 05:11 PM 	10E-OPE-OPE-6175
		6200 - FORESTRY Functions 	 Comments 	2 Items 	2018-02-23 05:11 PM 	10E-OPE-OPE-6200
